Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Body area (product.metafields.shopify.body-area),Color (product.metafields.shopify.color-pattern),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Gift set format (product.metafields.shopify.gift-set-format),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aurora-bloom-1,,,,,,,,,50ml,,,,,,,,,100.0,shopify,99,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
aurora-bloom-1,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
reckoning,Reckoning,"<p><span>Reckoning</span><span> is a bold masculine-unisex fragrance built around presence, depth, and quiet power. It opens with a dark, magnetic freshness before settling into a warm, sensual trail of woods, spice, and smooth ambered richness. Sophisticated rather than loud, Reckoning feels commanding, mysterious, and effortlessly expensive.</span></p>
<p><span>Mood:</span><span> Dark • Magnetic • Powerful • Seductive</span><span><br> <br></span><span>Best for:</span><span> Evening, date night, special occasions, or anyone who wants a scent with serious presence.</span></p>
<p><span>Some fragrances enter the room. Reckoning takes possession of it.</span></p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Perfume Extracts,Perfume,"Amber Fragrance, Bold Fragrance, Date Night Fragrance, Eau de Parfum, Evening Fragrance, Fall Fragrance, Long Lasting Fragrance, Luxury Perfume, Maison veil, Men’s Fragrance, Niche Fragrance, Oriental Fragrance, Oud, Regal Fragrance, Signature Scent, Spicy Fragrance, Sultan Veil, Unisex Fragrance, Warm Fragrance, Winter Fragrance, Woody Fragrance",true,Size,30ml,,,,,,,,,0.0,shopify,100,deny,manual,68.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Reckoning.png?v=1787235332,1,"",false,,,,,,,,bottle,velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,fresh; fruity; woody,,spray,,,,,,,,lb,,,active
reckoning,,,,,,,,,10ml,,,,,,,,,0.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
reckoning,,,,,,,,,15ml,,,,,,,,,0.0,shopify,100,deny,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
reckoning,,,,,,,,,50ml,,,,,,,,,0.0,shopify,100,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
reckoning,,,,,,,,,100ml,,,,,,,,,0.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
sultanveil,Sultan Veil,"<p><span>Sultan Veil</span><span> is a rich </span><span>Oriental Amber Woody</span><span> fragrance with regal, masculine-leaning energy. It smells polished, commanding and expensive — the kind of scent that enters the room before you do.</span></p>
<p><span><br> </span><span>Amber • Smooth Spice • Refined Woods • Resinous Warmth • Blue Sapphire Accord • Golden Warmth</span></p>
<p><span><br> </span><span>A commanding composition of warm amber, polished woods and smooth spice, wrapped in resinous golden depth. Sultan Veil is bold without being harsh — luxurious, magnetic and effortlessly regal, with a lingering trail that feels unmistakably powerful.</span></p>
<p><span>Vibe:</span><span> Wealthy. Commanding. Unforgettable.</span></p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Perfume Extracts,"","Amber Fragrance, Bold Fragrance, Date Night Fragrance, Eau de Parfum, Evening Fragrance, Fall Fragrance, Long Lasting Fragrance, Luxury Perfume, Maison veil, Men’s Fragrance, Niche Fragrance, Oriental Fragrance, Oud, Regal Fragrance, Signature Scent, Spicy Fragrance, Sultan Veil, Unisex Fragrance, Warm Fragrance, Winter Fragrance, Woody Fragrance",true,Size,30ml,,,,,,,,,0.0,shopify,100,deny,manual,68.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Reckoning.png?v=1787235332,1,"",false,Sultan Veil | Oriental Amber Woody Perfume,"Sultan Veil is a rich Oriental Amber Woody fragrance with regal, masculine energy—warm, commanding, polished and effortlessly luxurious.",,,,,,bottle,velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,fresh; woody; aromatic; balsamic; citrus; earthy,,spray,,,,,,,,lb,,,active
sultanveil,,,,,,,,,10ml,,,,,,,,,0.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
sultanveil,,,,,,,,,15ml,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
sultanveil,,,,,,,,,50ml,,,,,,,,,0.0,shopify,100,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
sultanveil,,,,,,,,,100ml,,,,,,,,,0.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
kola-azur-eau-de-parfum-fragcon-bestseller,Kòla Azur Eau de Parfum  -FragCon Bestseller,"<p><span>Kòla Azur</span></p>
<p><span>Kòla Azur is a vibrant, modern fragrance built around a proprietary Maison Veil kola-inspired accord.</span></p>
<p><span>It opens with sparkling citrus and juicy tropical fruit, lifted by a crisp green freshness. The heart reveals airy florals, a subtle hibiscus nuance, and aromatic spice before settling into smooth woods, clean musk, and warm mineral amber.</span></p>
<p><span>Fresh, magnetic, and effortlessly sophisticated, Kòla Azur is designed for those who want a fragrance that feels distinctive without being overpowering.</span></p>
<p><span>Fragrance Family:</span><span> Fresh • Fruity • Woody</span></p>
<p><span>Scent Journey</span><span><br> </span><span>Opening:</span><span> Sparkling Citrus • Tropical Fruit • Green Freshness</span><span><br> </span><span>Heart:</span><span> Airy Florals • Hibiscus Nuance • Aromatic Spice</span><span><br> </span><span>Drydown:</span><span> Smooth Woods • Clean Musk • Warm Amber</span></p>
<p><span>Mood:</span><span> Vibrant • Refined • Magnetic • Modern</span></p>
<p><span>Maison Veil Eau de Parfum</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Perfume Extracts,"","Kòla Azur Maison Veil Unisex Fragrance Fresh Fragrance Fruity Fragrance Woody Fragrance Aromatic Fragrance Luxury Perfume Niche Fragrance Citrus Perfume Tropical Fragrance Hibiscus Fragrance Fresh Woody Perfume Eau de Parfum, Maison veil, Oud",true,Size,30ml,,,,,,,,,0.0,shopify,96,deny,manual,68.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Reckoning.png?v=1787235332,1,"",false,,,,,,,,bottle,velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,fresh; fruity; woody,,spray,,,,,,,,lb,,,active
kola-azur-eau-de-parfum-fragcon-bestseller,,,,,,,,,10ml,,,,,,,,,0.0,shopify,96,deny,manual,20.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
kola-azur-eau-de-parfum-fragcon-bestseller,,,,,,,,,15ml,,,,,,,,,0.0,shopify,50,deny,manual,0.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
kola-azur-eau-de-parfum-fragcon-bestseller,,,,,,,,,50ml,,,,,,,,,0.0,shopify,100,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
kola-azur-eau-de-parfum-fragcon-bestseller,,,,,,,,,100ml,,,,,,,,,0.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
pistache-nuage,Pistache Nuage - FragCon 2026 Best Seller,"<p><span>Pistache Nuage</span></p>
<p><span>FragCon 2026 Best Seller</span></p>
<p><span>Soft. Creamy. Addictive.</span></p>
<p><span>Pistache Nuage wraps the skin in an airy veil of pistachio cream, delicate florals, soft vanilla and smooth musk. Sweet without becoming heavy, this is the kind of fragrance that makes people lean closer, ask what you’re wearing — and come back for another spray.</span></p>
<p><span>At FragCon 2026, Pistache Nuage quickly became one of Maison Veil’s most talked-about fragrances, with guests returning again and again to experience it.</span></p>
<p><span>Scent Profile</span></p>
<p><span>Gourmand • Creamy • Musky • Soft Floral</span></p>
<p><span>Fragrance Notes</span></p>
<p><span>Top:</span><span> Creamy Pistachio, Soft Pear Nuance</span><span><br> </span><span>Heart:</span><span> Airy White Florals, Powdered Petals</span><span><br> </span><span>Base:</span><span> Vanilla Crème, Caramelized Warmth, White Musk</span></p>
<p><span>The Experience</span></p>
<p><span>Imagine a cloud of whipped pistachio cream floating over soft petals, warm vanilla and clean skin musk.</span></p>
<p><span>Pistache Nuage is decadent, but never overpowering. Feminine, inviting and effortlessly luxurious, it leaves behind a soft gourmand trail that feels both comforting and incredibly polished.</span></p>
<p><span>You’ll Love Pistache Nuage If You Love</span></p>
<p><span>Creamy gourmands, pistachio fragrances, soft vanilla, skin musks and fragrances that smell delicious while still feeling refined.</span></p>
<p><span>Maison Veil Favorite:</span><span> The fragrance guests kept coming back for at FragCon 2026.</span></p>
<p><span>Wear:</span><span> Day or Night</span><span><br> </span><span>Season:</span><span> Year-Round</span><span><br> </span><span>Vibe:</span><span> Soft Luxury • Addictive • Feminine • Elevated Gourmand</span></p>
<p><span>Add Pistache Nuage to your fragrance wardrobe and discover the Maison Veil scent that had Houston coming back for another spray.</span></p>
<p> </p>
<p><span>Sweet without feeling childish. Creamy without becoming heavy. </span><span>Pistache Nuage wears like a luxurious pistachio cloud against the skin.</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Bestseller, Floral Perfume, Maison veil, Niche Perfume, Unisex Perfume",true,Size,10-ml,product.metafields.shopify.size,,,,,,,,0.0,shopify,95,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Pistache_Nuage.png?v=1786928459,1,"",false,,,,,clear,,,bottle,vanilla,,glass,,gourmand; floral,,spray,,,10-ml; 15-ml; 20-ml; 30-ml; 50-ml; 100-ml,,,,,lb,,,active
pistache-nuage,,,,,,,,,15-ml,,,,,,,,,0.0,shopify,98,deny,manual,38.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
pistache-nuage,,,,,,,,,20-ml,,,,,,,,,0.0,shopify,49,deny,manual,30.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
pistache-nuage,,,,,,,,,30-ml,,,,,,,,,2267.96185,shopify,95,deny,manual,68.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
pistache-nuage,,,,,,,,,50-ml,,,,,,,,,0.0,shopify,100,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
pistache-nuage,,,,,,,,,100-ml,,,,,,,,,0.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
untitled-jul15_19-40-22,Untitled Jul15_19:40:22,,Maison Veil ,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft
untitled-jul9_10-53-14,Untitled Jul9_10:53:14,<p>Isla Doree </p>,Maison Veil ,Health & Beauty,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft
rouge-tropique-veil,Rouge Tropique Veil,"<p><strong>Rouge Tropique Veil </strong></p>
<p><strong>A radiant escape wrapped in luxury.</strong></p>
<p> </p>
<p><strong>Rouge Tropique Veil opens with luscious strawberry and sun-ripened pear, creating an irresistibly juicy first impression. At its heart, delicate osmanthus blooms with soft apricot-like petals, adding a sophisticated floral glow. The fragrance settles into a luminous veil of warm ambered woods and airy musk, leaving behind an addictive trail that feels both elegant and unforgettable.</strong></p>
<p> </p>
<p><strong>Bright, feminine, and effortlessly captivating, Rouge Tropique Veil captures the feeling of golden sunlight on warm skin, tropical fruit orchards in bloom, and the confidence of a woman who leaves a lasting impression wherever she goes.</strong></p>
<p> </p>
<p><strong>Fragrance Family: Fruity Floral Amber<br> Notes: Strawberry • Pear • Osmanthus • Amber Woods • Soft Musk<br> Mood: Radiant • Feminine • Luxurious • Magnetic<br> Perfect For: Brunch dates, vacations, weddings, special occasions, and everyday elegance</strong></p>
<p> </p>
<p><strong>“A tropical glow kissed by luxury and wrapped in a veil of unforgettable beauty.” — Maison Veil®</strong></p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,100,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Aurora_Bloom.png?v=1788482965,1,"",false,Rouge Tropique Veil | Maison Veil,"A radiant blend of juicy strawberry, ripe pear, luminous osmanthus, and warm amber woods. Bright, feminine, luxurious, and unforgettable.",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods; floral,fall; spring; summer; winter,,,,,,g,,,active
rouge-tropique-veil,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,68.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
rouge-tropique-veil,,,,,,,,,50ml,,,,,,,,,100.0,shopify,99,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
rouge-tropique-veil,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
maison-veil-signature-discovery-collection,Maison Veil Signature Discovery Collection,"<p data-pm-slice=""1 1 []""><span>Discover the essence of Maison Veil with our Signature Discovery Collection — a curated set of five 5ml fragrances featuring some of our most loved and requested scents.</span></p>
<p><span>Designed for fragrance lovers, collectors, gifting, and first-time Maison Veil experiences, this collection invites you into a world of soft luxury, warm elegance, addictive musks, and unforgettable presence.</span></p>
<p><span>Each set includes:</span></p>
<p><span>• Noire Saffron Veil</span><br><span>A deep saffron amber with luxurious warmth and mystery.</span></p>
<p><span>• Rose Suprême Veil</span><br><span>An elegant floral veil wrapped in soft sophistication.</span></p>
<p><span>• Vanilla Coco Tux</span><br><span>Creamy vanilla, soft coconut, and smooth sensual warmth.</span></p>
<p><span>• Blush Silk Veil</span><br><span>A feminine signature with airy sweetness and silky musk.</span></p>
<p><span>• Pacifique Veil</span><br><span>A fresh, clean luxury scent with effortless elegance.</span></p>
<p data-pm-slice=""1 1 []""><span>DETAILS</span><br><span>• 5 luxury fragrance sprays</span><br><span>• 5ml each</span><br><span>• Perfect for layering, travel, gifting, and discovering your signature scent</span><br><span>• Unisex collection</span><br><span>• Made in Houston, Texas</span></p>
<p><span>LIMITED QUANTITIES AVAILABLE.</span></p>
<p> </p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Perfume Sample & Discovery Sets,Perfume,"Discovery Set, Floral Perfume, Fragrance Sampler, Houston Perfume Brand, Luxury Fragrance, Maison Veil, Niche Perfume, Perfume Gift Set, Travel Spray, Unisex Perfume, Vanilla Perfume",true,Title,Default Title,,,,,,,,'1001,0.0,shopify,24,deny,manual,45.00,55.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/2ADFB90E-4116-4713-BA75-76C549503858.png?v=1783001488,1,"",false,Maison Veil Signature Discovery Collection | Luxury 5ml Fragrance Set,,adults,,,,,spray,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods; floral; vanilla,gift-box,glass,special-occasion,floral,,spray,,,,,unisex,,,lb,,55.00,active
maison-veil-signature-discovery-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/78FD66CB-7C1F-4CD2-AFEA-52F5ECE5549D.png?v=1779888270,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
